City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,77.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
1,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Vaini,TO,77.36,light rain,-21.2,-175.2,Keleti Beach Resort
17,Hithadhoo,MV,81.12,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Rikitea,PF,77.54,broken clouds,-23.1203,-134.9692,People ThankYou
22,Arraial Do Cabo,BR,78.62,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
33,Kapaa,US,75.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Atuona,PF,78.91,few clouds,-9.8,-139.0333,Villa Enata
50,Lorengau,PG,82.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
55,Daru,PG,76.69,overcast clouds,-9.0763,143.2092,Daru Lodge
59,Adre,TD,76.35,broken clouds,13.4667,22.2,
61,Tuxpan,MX,81.37,scattered clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
66,Kavieng,PG,83.08,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
67,Lamu,KE,82.62,light rain,-2.2717,40.902,Lamu House
70,Puerto Escondido,MX,86.11,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
73,Hilo,US,77.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
74,Hukuntsi,BW,79.79,overcast clouds,-24.0,21.75,Entabeni Hotel
75,Luganville,VU,81.01,light rain,-15.5333,167.1667,The Espiritu Hotel
77,Bengkulu,ID,75.47,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
78,Mahebourg,MU,77.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
79,Butaritari,KI,82.65,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
80,Buala,SB,80.83,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
