City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Avarua,-21.2078,-159.775,77.05,83,90,2.3,CK,2021-12-09 18:44:01
1,Carnarvon,-24.8667,113.6333,71.67,78,90,19.57,AU,2021-12-09 18:47:55
2,Khatanga,71.9667,102.5,-6.47,96,100,10.87,RU,2021-12-09 18:47:55
3,Axim,4.8699,-2.2405,81.05,81,6,9.06,GH,2021-12-09 18:47:55
4,Yakeshi,49.2833,120.7333,7.34,97,100,3.38,CN,2021-12-09 18:47:56
5,Bairiki,1.3292,172.9752,80.6,89,40,4.61,KI,2021-12-09 18:47:56
6,Rikitea,-23.1203,-134.9692,75.45,73,64,21.54,PF,2021-12-09 18:47:56
7,Aklavik,68.2191,-135.0107,2.23,84,20,3.44,CA,2021-12-09 18:47:57
8,Qaanaaq,77.484,-69.3632,0.61,80,30,6.91,GL,2021-12-09 18:47:57
9,Bathsheba,13.2167,-59.5167,84.81,65,40,21.85,BB,2021-12-09 18:47:57
10,Bundaberg,-24.85,152.35,77.22,92,12,0.0,AU,2021-12-09 18:47:57
11,Guarapari,-20.6667,-40.4975,75.09,78,86,5.91,BR,2021-12-09 18:47:58
12,Atuona,-9.8,-139.0333,78.28,64,82,14.0,PF,2021-12-09 18:47:58
13,Davila,18.4726,120.5763,66.18,75,14,22.86,PH,2021-12-09 18:47:58
14,Narsaq,60.9167,-46.05,12.63,81,32,5.41,GL,2021-12-09 18:47:59
15,Pimentel,-6.8367,-79.9342,75.49,60,0,16.11,PE,2021-12-09 18:47:59
16,Ushuaia,-54.8,-68.3,58.66,44,40,25.32,AR,2021-12-09 18:44:26
17,Yulara,-25.2406,130.9889,71.44,26,6,9.22,AU,2021-12-09 18:47:59
18,Busselton,-33.65,115.3333,64.09,90,97,7.54,AU,2021-12-09 18:48:00
19,Arroyo,41.6096,-4.7969,50.59,82,0,1.01,ES,2021-12-09 18:48:00
20,Bhopal,23.2667,77.4,62.83,67,20,5.75,IN,2021-12-09 18:48:00
21,Muros,42.7762,-9.0603,59.09,85,100,13.49,ES,2021-12-09 18:48:00
22,Albany,42.6001,-73.9662,33.15,61,100,1.01,US,2021-12-09 18:46:00
23,Tingloy,13.6609,120.8711,75.83,81,98,15.48,PH,2021-12-09 18:48:01
24,Killybegs,54.6333,-8.45,46.11,67,100,27.65,IE,2021-12-09 18:48:01
25,Port Alfred,-33.5906,26.891,70.34,95,46,4.79,ZA,2021-12-09 18:48:01
26,Yellowknife,62.456,-114.3525,-6.72,76,75,10.36,CA,2021-12-09 18:48:02
27,Lagoa,39.05,-27.9833,62.69,61,100,7.85,PT,2021-12-09 18:48:02
28,Chunoyar,57.4467,97.3217,7.38,92,100,14.03,RU,2021-12-09 18:48:02
29,Kiama,-34.6833,150.8667,61.38,96,71,7.34,AU,2021-12-09 18:48:03
30,Kavieng,-2.5744,150.7967,83.46,78,87,15.32,PG,2021-12-09 18:48:03
31,Pedernales,18.0384,-71.744,82.54,56,1,7.43,DO,2021-12-09 18:48:03
32,Punta Arenas,-53.15,-70.9167,62.71,36,20,21.85,CL,2021-12-09 18:48:04
33,Butaritari,3.0707,172.7902,81.66,77,100,8.01,KI,2021-12-09 18:48:04
34,Ponta Do Sol,32.6667,-17.1,65.71,73,64,7.16,PT,2021-12-09 18:48:04
35,Kandrian,-6.2167,149.55,79.3,88,100,4.99,PG,2021-12-09 18:48:05
36,Saldanha,-33.0117,17.9442,64.45,93,40,20.0,ZA,2021-12-09 18:48:05
37,Baiyin,36.5583,104.2081,36.48,44,100,4.54,CN,2021-12-09 18:48:05
38,Torbay,47.6666,-52.7314,38.57,98,90,16.11,CA,2021-12-09 18:48:06
39,Baruun-Urt,46.6806,113.2792,16.81,67,4,3.2,MN,2021-12-09 18:48:06
40,Mahebourg,-20.4081,57.7,77.29,78,75,3.44,MU,2021-12-09 18:48:06
41,Bluff,-46.6,168.3333,53.8,69,6,12.41,NZ,2021-12-09 18:48:07
42,Galesong,-5.3166,119.3661,77.02,82,100,3.33,ID,2021-12-09 18:48:07
43,San Patricio,28.017,-97.5169,87.89,57,71,16.69,US,2021-12-09 18:48:07
44,Vila Velha,-20.3297,-40.2925,75.15,77,90,7.0,BR,2021-12-09 18:49:07
45,Gizo,-8.103,156.8419,81.39,80,54,6.55,SB,2021-12-09 18:49:08
46,Pavlodar,52.3,76.95,6.6,78,0,8.95,KZ,2021-12-09 18:49:08
47,Santa Isabel,-23.3156,-46.2214,74.66,57,21,8.25,BR,2021-12-09 18:49:08
48,Sechura,-5.5569,-80.8222,75.45,63,100,16.02,PE,2021-12-09 18:49:08
49,Nangong,37.3581,115.3744,39.02,77,0,2.21,CN,2021-12-09 18:49:09
50,Kysyl-Syr,63.8986,122.7617,-4.34,96,100,8.25,RU,2021-12-09 18:49:09
51,Hobart,-42.8794,147.3294,54.01,78,90,6.91,AU,2021-12-09 18:45:02
52,Cherskiy,68.75,161.3,-44.36,100,95,5.59,RU,2021-12-09 18:49:10
53,Kavaratti,10.5669,72.642,81.81,71,85,7.9,IN,2021-12-09 18:49:10
54,Kristiinankaupunki,62.2743,21.376,19.44,87,100,12.35,FI,2021-12-09 18:49:10
55,Whitehorse,60.7161,-135.0538,-12.23,84,20,3.44,CA,2021-12-09 18:45:14
56,Georgetown,5.4112,100.3354,80.89,77,20,5.01,MY,2021-12-09 18:46:30
57,Rocha,-34.4833,-54.3333,74.03,51,90,14.23,UY,2021-12-09 18:45:26
58,Chokurdakh,70.6333,147.9167,-47.33,100,86,3.31,RU,2021-12-09 18:49:11
59,Batticaloa,7.7102,81.6924,79.07,80,90,3.29,LK,2021-12-09 18:49:12
60,Ampanihy,-24.7,44.75,76.68,61,8,4.0,MG,2021-12-09 18:49:12
61,Castro,-24.7911,-50.0119,75.15,33,0,7.67,BR,2021-12-09 18:49:12
62,Batalha,-9.6778,-37.1247,91.81,43,50,19.53,BR,2021-12-09 18:49:13
63,Giubega,44.1167,23.4167,36.97,76,100,10.0,RO,2021-12-09 18:49:13
64,Nantucket,41.2835,-70.0995,39.96,48,1,14.97,US,2021-12-09 18:46:44
65,Kodiak,57.79,-152.4072,38.28,87,90,16.11,US,2021-12-09 18:44:23
66,Gawler,-34.6,138.7333,56.25,71,0,5.5,AU,2021-12-09 18:45:14
67,Caravelas,-17.7125,-39.2481,72.39,98,100,2.71,BR,2021-12-09 18:49:14
68,Nome,64.5011,-165.4064,10.47,72,90,8.05,US,2021-12-09 18:49:14
69,Hilo,19.7297,-155.09,75.25,40,75,6.91,US,2021-12-09 18:49:14
70,Santa Vitoria Do Palmar,-33.5189,-53.3681,71.92,62,44,14.58,BR,2021-12-09 18:49:14
71,Port Elizabeth,-33.918,25.5701,68.29,100,75,9.22,ZA,2021-12-09 18:49:15
72,Tuatapere,-46.1333,167.6833,53.82,87,6,3.09,NZ,2021-12-09 18:49:15
73,Bethel,41.3712,-73.414,37.49,61,1,1.99,US,2021-12-09 18:49:15
74,Boguchany,58.3814,97.4531,5.83,93,100,12.91,RU,2021-12-09 18:49:15
75,Grindavik,63.8424,-22.4338,36.07,87,75,3.44,IS,2021-12-09 18:49:16
76,Kruisfontein,-34.0033,24.7314,65.88,94,100,5.66,ZA,2021-12-09 18:49:16
77,Jesi,43.5288,13.2402,43.05,64,100,4.0,IT,2021-12-09 18:49:17
78,Alta,69.9689,23.2717,7.86,71,0,6.91,NO,2021-12-09 18:49:17
79,East London,-33.0153,27.9116,70.74,94,0,5.75,ZA,2021-12-09 18:48:33
80,Marsh Harbour,26.5412,-77.0636,77.43,74,70,2.19,BS,2021-12-09 18:48:07
81,Careiro Da Varzea,-3.2003,-59.8119,83.01,71,100,6.55,BR,2021-12-09 18:49:17
82,Sitka,57.0531,-135.33,35.49,80,90,0.0,US,2021-12-09 18:49:18
